"ID","age","value"
"4.4.3","Ecosystems Quality - Ecotoxicity",0.004
"4.4.4","Resources-fossil fuels",91.41
"4.4.4","Ecosystems Quality-Acidification and Eutrophication",3.39
"4.4.4","Human Health-Climate Change",0.58
"4.4.4","Resources-minerals",0.001
"4.4.4","Human health-Ozone layer depletion",1.6e-10
"4.4.4","Human Health-Respiratory effects caused by organic substances",1.4e-7
"4.4.4","Human health - Ionising radiation",7.1e-9
"4.4.4","Human Health - Respiratory effects caused by inorganic substances",0.0002
"4.4.4","Human Health - Carcinogenics",0.00005
"4.4.4","Ecosystems Quality - Ecotoxicity",0.004
"4.4.5","Resources-fossil fuels",27.96
"4.4.5","Ecosystems Quality-Acidification and Eutrophication",17.04
"4.4.5","Human Health-Climate Change",0.57
"4.4.5","Resources-minerals",20.13
"4.4.5","Human health-Ozone layer depletion",8.22e-9
"4.4.5","Human Health-Respiratory effects caused by organic substances",2.9e-7
"4.4.5","Human health - Ionising radiation",8.0e-7
"4.4.5","Human Health - Respiratory effects caused by inorganic substances",0.001
"4.4.5","Human Health - Carcinogenics",0.0001
"4.4.5","Ecosystems Quality - Ecotoxicity",0.02
"4.4.6","Resources-fossil fuels",22.97
"4.4.6","Ecosystems Quality-Acidification and Eutrophication",2.06
"4.4.6","Human Health-Climate Change",0.52
"4.4.6","Resources-minerals",1.17
"4.4.6","Human health-Ozone layer depletion",5.1e-9
"4.4.6","Human Health-Respiratory effects caused by organic substances",8.06e-8
"4.4.6","Human health - Ionising radiation",7.02e-7
"4.4.6","Human Health - Respiratory effects caused by inorganic substances",0.0001
"4.4.6","Human Health - Carcinogenics",0.0007
"4.4.6","Ecosystems Quality - Ecotoxicity",0.02
"4.4.7","Resources-fossil fuels",22.97
"4.4.7","Ecosystems Quality-Acidification and Eutrophication",2.06
"4.4.7","Human Health-Climate Change",0.52
"4.4.7","Resources-minerals",1.17
"4.4.7","Human health-Ozone layer depletion",5.1e-9
"4.4.7","Human Health-Respiratory effects caused by organic substances",8.06e-8
"4.4.7","Human health - Ionising radiation",7.02e-7
"4.4.7","Human Health - Respiratory effects caused by inorganic substances",0.0001
"4.4.7","Human Health - Carcinogenics",0.0007
"4.4.7","Ecosystems Quality - Ecotoxicity",0.02
"5.5.1","Resources-fossil fuels",13.98
"5.5.1","Ecosystems Quality-Acidification and Eutrophication",8.52
"5.5.1","Human Health-Climate Change",0.28
"5.5.1","Resources-minerals",10.06
"5.5.1","Human health-Ozone layer depletion",4.1e-9
"5.5.1","Human Health-Respiratory effects caused by organic substances",1.4e-7
"5.5.1","Human health-Ionising radiation",4.01e-7
"5.5.1","Human Health-Respiratory effects caused by inorganic substances",0.0005
"5.5.1","Human Health-Carcinogenics",0.00008
"5.5.1","Ecosystems Quality-Ecotoxicity",0.01
"5.5.2","Resources-fossil fuels",27.96
"5.5.2","Ecosystems Quality-Acidification and Eutrophication",17.04
"5.5.2","Human Health-Climate Change",0.57
"5.5.2","Resources-minerals",20.13
"5.5.2","Human health-Ozone layer depletion",8.2e-9
"5.5.2","Human Health-Respiratory effects caused by organic substances",2.9e-7
"5.5.2","Human health - Ionising radiation",8.02e-7
"5.5.2","Human Health - Respiratory effects caused by inorganic substances",0.001
"5.5.2","Human Health - Carcinogenics",0.0001
"5.5.2","Ecosystems Quality - Ecotoxicity",0.02
